#\kappa_tau,\kappa_tau_tilde,\lnLog
-1.98,-1.64,253.69603818874896
-1.98,-1.62,251.07948746194666
-1.98,-1.6,248.47787871563392
-1.98,-1.58,245.89102210003466
-1.98,-1.56,243.31777343015898
-1.98,-1.54,240.76315687192692
-1.98,-1.52,238.2392743516331
-1.98,-1.5,235.753016590154
-1.98,-1.48,233.29246762331368
-1.98,-1.46,230.84430469516116
-1.98,-1.44,228.3961117819555
-1.98,-1.42,225.95893457263782
-1.98,-1.4,223.52906609163864
-1.98,-1.38,221.11675295656994
-1.98,-1.36,218.71946352337898
-1.98,-1.34,216.3589311976921
-1.98,-1.32,214.0271526325629
-1.98,-1.3,211.7260243865826
-1.98,-1.28,209.4507157375
-1.98,-1.26,207.20154323243142
-1.98,-1.24,204.9736999612114
-1.98,-1.22,202.76816346312532
-1.98,-1.2,200.59421950205504
-1.98,-1.18,198.45759552887873
-1.98,-1.16,196.34468978920395
-1.98,-1.14,194.2481022248753
-1.98,-1.12,192.1720290580908
-1.98,-1.1,190.11610361397985
-1.98,-1.08,188.08113586205297
-1.98,-1.06,186.07811170281698
-1.98,-1.04,184.103404864187
-1.98,-1.02,182.17176571608297
-1.98,-1.0,180.27452443439157
-1.98,-0.98,178.41681077746054
-1.98,-0.96,176.59363606598293
-1.98,-0.94,174.81647391525613
-1.98,-0.92,173.07203764748903
-1.98,-0.9,171.3483045461374
-1.98,-0.88,169.6263260299273
-1.98,-0.86,167.9027793231512
-1.98,-0.84,166.19796652783108
-1.98,-0.82,164.5278057470088
-1.98,-0.8,162.89728219084915
-1.98,-0.78,161.33082915398725
-1.98,-0.76,159.8064084506217
-1.98,-0.74,158.32179882783092
-1.98,-0.72,156.86215920089134
-1.98,-0.7,155.43806804007636
-1.98,-0.68,154.0436540080636
-1.98,-0.66,152.6966655137923
-1.98,-0.64,151.38488599941653
-1.98,-0.62,150.11148553345836
-1.98,-0.6,148.88001822778818
-1.98,-0.58,147.70058221340597
-1.98,-0.56,146.53452941961325
-1.98,-0.54,145.40294026051993
-1.98,-0.52,144.28232126044958
-1.98,-0.5,143.22753232301073
-1.98,-0.48,142.21402247846106
-1.98,-0.46,141.23253941196938
-1.98,-0.44,140.2800240897893
-1.98,-0.42,139.3695098786867
-1.98,-0.4,138.5011438841658
-1.98,-0.38,137.6945236439624
